index,timestamp,metric_value,checks
226269,623.0,1602.642096,1.0
226283,623.0,3141.191947,1.0
226297,623.0,1580.404815,1.0
226311,623.0,3037.638453,1.0
226325,623.0,1620.345427,1.0
226339,623.0,3117.956103,1.0
226353,623.0,3151.600804,1.0
226367,623.0,1496.763873,1.0
226381,623.0,1683.33541,1.0
226395,623.0,1519.831737,1.0
226409,623.0,1449.493346,1.0
226423,623.0,1535.626256,1.0
226437,623.0,2991.378545,1.0
226451,623.0,3088.524649,1.0
226465,623.0,1628.267781,1.0
226479,623.0,3369.657929,1.0
226493,623.0,1526.440062,1.0
226507,623.0,3246.402755,1.0
226521,623.0,1493.877977,1.0
226535,623.0,1506.097042,1.0
226549,623.0,3075.877222,1.0
226563,623.0,1579.876965,1.0
226577,623.0,1456.167583,1.0
226591,623.0,2952.771552,1.0
226605,624.0,3077.506252,1.0
226619,624.0,3050.022531,1.0
226633,624.0,1551.553404,1.0
226647,624.0,3223.167906,1.0
226661,624.0,1462.008741,1.0
226675,624.0,3159.633732,1.0
226691,624.0,2944.163188,1.0
226705,624.0,2979.317997,1.0
226719,624.0,3110.410214,1.0
226733,624.0,1456.452554,1.0
226747,624.0,3078.011551,1.0
226761,624.0,1466.876721,1.0
226775,624.0,3164.869054,1.0
226789,624.0,1529.543449,1.0
226803,624.0,1438.665911,1.0
226817,624.0,1432.921325,1.0
226831,624.0,3194.292023,1.0
226845,624.0,1500.89604,1.0
226859,624.0,1482.323642,1.0
226873,624.0,3028.063908,1.0
226887,624.0,1440.169664,1.0
226901,624.0,1479.75815,1.0
226915,624.0,1475.713272,1.0
226929,625.0,3088.941875,1.0
226943,625.0,3080.85393,1.0
226957,625.0,2964.615928,1.0
226971,625.0,1561.957542,1.0
226985,625.0,3116.616145,1.0
226999,625.0,1550.548194,1.0
227015,625.0,1437.402911,1.0
227029,625.0,1514.275595,1.0
227043,625.0,3106.237017,1.0
227057,625.0,1424.54188,1.0
227071,625.0,3134.499166,1.0
227085,625.0,1628.909995,1.0
227099,625.0,1406.720755,1.0
227113,625.0,2932.122263,1.0
227127,625.0,2916.050287,1.0
227141,625.0,2984.526754,1.0
227155,625.0,3057.243865,1.0
227169,625.0,3101.255445,1.0
227183,625.0,3079.252773,1.0
227197,625.0,1376.425771,1.0
227211,625.0,2981.598493,1.0
227225,625.0,1525.953516,1.0
227239,625.0,2944.320761,1.0
227253,625.0,3042.032309,1.0
227267,625.0,1376.421155,1.0
227281,625.0,1365.976652,1.0
227295,625.0,1423.544711,1.0
227309,625.0,3228.875879,1.0
227323,626.0,3304.88366,1.0
227337,626.0,1449.8213,1.0
227351,626.0,3277.144357,1.0
227365,626.0,1526.639206,1.0
227379,626.0,1433.689796,1.0
227393,626.0,1463.720876,1.0
227409,626.0,3510.286632,1.0
227423,626.0,3138.621834,1.0
227437,626.0,1384.793911,1.0
227451,626.0,1438.15556,1.0
227465,626.0,3179.964339,1.0
227479,626.0,3268.406417,1.0
227493,626.0,3247.137074,1.0
227507,626.0,1507.817152,1.0
227521,626.0,1545.247403,1.0
227535,626.0,1509.512409,1.0
227549,626.0,1459.270144,1.0
227563,626.0,3438.73999,1.0
227577,626.0,1393.546685,1.0
227591,626.0,1422.705463,1.0
227605,626.0,1554.388869,1.0
227619,626.0,3180.684888,1.0
227633,626.0,3152.698162,1.0
227647,626.0,1533.87076,1.0
227661,626.0,3136.595586,1.0
227675,626.0,3328.179888,1.0
227689,626.0,1471.52327,1.0
227703,627.0,1441.340166,1.0
227717,627.0,3323.142252,1.0
227733,627.0,3307.284555,1.0
227747,627.0,3243.749373,1.0
